code	product_name	brands	brands_tags	categories_en	labels_en	product_quantity	ingredients_text	labels	image_url	serving_size	serving_quantity
95.0	Бургер булочка	Bagerstat	bagerstat	Dietary supplements	No gluten,Halal,Kosher	0.0	Sugar Cane, Glucose Syrup (Corn Syrup), Water, Citrus Pectin, Citric Acid, Sodium Citrate, Natural and Artificial Flavors, Betacarotene.	No gluten, Kosher, Halal	https://images.openfoodfacts.org/images/products/000/000/000/0095/front_en.3.400.jpg	56.0g	56.0
1526.0	Sliced Sourdough Bread	Trader Joe's	trader-joe-s	Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads	Organic,EU Organic,FR-BIO-01	680.388555	UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SALT, MALTED BARLEY FLOUR.	Organic, EU Organic, FR-BIO-01	https://images.openfoodfacts.org/images/products/000/000/000/1526/front_en.27.400.jpg	1 slice (52 g)	52.0
2755.0	Anthony's Textured Vegetable Protein	Anthony's	anthony-s	Plant-based foods and beverages,Plant-based foods,Legumes and their products,Meat alternatives,Meat analogues,Textured vegetable protein	No gluten	680.0	soy flour	No gluten	https://images.openfoodfacts.org/images/products/000/000/000/2755/front_en.27.400.jpg	24 g	24.0
390204071.0	Isagenix	ISAGENIX	isagenix	Dietary supplements,Bodybuilding supplements,Protein shakes	No gluten,Vegetarian,No milk,No soy	62.368950875	Phyto-IsaLean ComplexT (whole grain brown rice protein concentrate, pea protein isolate). evaporated cane juice, sunflower (Helianthus annuus) oil powder, isomaltooligosaccharide powder, natural flavors, sunflower lecithin, chia (Salvia hispanica) seed powder, whole grain rice milk powder, olive (Olea europaea) oil powder, flax (Linum usitatissimum) seed powder, xanthan gum, inulin, medium-chain triglyceride oil powder, fruit and vegetable blend (acai, apple, banana, beet, butternut squash, carrot, kale, pomegranate, pumpkin, sweet potato, spinach), molasses powder, potassium citrate, silicon dioxide, nutmeg, magnesium stearate, tricalcium phospha, stevia (Stevia rebaudiana) leaf extract, Lactobacillus acidophilus, cinnamon, cardamom Amino Acids per Serving*+ Alanine 1,100 mg Lysine 1,545 mg Methionine 2,275 mg Phenylalanine 415 mg 1,185 mg 465mg Arginine Aspartic Acid Cysteine Glutamic Acid 1,040 mg 1,310 mg 1,210 mg 1,050 mg 270mg Proline Glycine Histidine 3,705 mg Serine 715 mg Threonine 580 mg Tryptophan Tyrosine Valine 1,060 mg 1,265 mg Isoleucine 1,255mg 1,985 mg  Leucine 1,985 mg. Since amino acids are naturally occurring, amounts may vary.	Vegetarian, No gluten, No milk, No soy	https://images.openfoodfacts.org/images/products/000/039/020/4071/front_en.24.400.jpg	62 g	62.0
4333.0	GenePro	GenePro	genepro	Protien-powder	No gluten,No lactose	495.0	(iOwhey®), iOwhey s a Registered Trademark product and used with permission by Plasma Nutrition, Inc.Ⓡ ** THIS PRODUCT CONTAINS MILK WARNING *In clinical research, the bio availability of GENEPRO is equivalent to 33g of re whey protein.	No lactose, en:no-gluten	https://images.openfoodfacts.org/images/products/000/000/000/4333/front_en.4.400.jpg	11g	11.0
4901.0	Bush’s Brown Sugar Hickory Baked Beans	Full circle market	full-circle-market	Plant-based foods and beverages,Plant-based foods,Condiments,Culinary plants,Aromatic plants,Fresh foods,Fresh plant-based foods,Herbs,Parsley,Fresh aromatic plants,Fresh parsley	Vegetarian,Vegan	0.0	PREPARED NAVY BEANS, WATER, SUGAR. BROWN SUGAR. CONTAINS 2% OR LESS OF: TOMATO PUREE (TOMATO PASTE, WATER), SALT, WHITE MUSTARD (VINEGAR, WATER, MUSTARD SEED, SALT, NATURAL FLAVOR), MODIFIED CORN STARCH, ONION, VINEGAR, SPICE, CARAMEL COLOR GARLIC POWDER, NATURAL FLAVOR Rinse & Insert Lid METAL CAN how2recycle.info BUSH BROTHERS & COMPANY P.O. BOX 52330, DEPT.C. KNOXVILLE, TN 37950-2330 USA GLUTEN FREE www.bushbeans.com 1-844-558-5455 PLEASE REFER TO THE CODE ON END OF CAN. Convention Scan here for informa 園	Vegan,Vegetarian	https://images.openfoodfacts.org/images/products/000/000/000/4901/front_en.14.400.jpg	85.0g	85.0
790200123.0	Fine Chocolate Candy Bar, Dark Chocolate	Simply,  Simply Natural Foods  Llc.	simply,simply-natural-foods-llc	Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies	No gluten	85.048569375	Maltitol, chocolate liquor, cocoa butter, inulin (natural vegetable fiber), soy lecithin, vanilla, cinnamon.	No gluten	https://images.openfoodfacts.org/images/products/000/079/020/0123/front_en.7.400.jpg	1 SQUARE (25 g)	25.0
930012833.0	Mt. Olive Kosher Dills	Mt. Olive	mt-olive	Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Pickles,Canned vegetables,Plant-based pickles,Pickled vegetables,Pickled cucumbers	No gluten	3780.0	Cucumbers, Water, Vinegar, Salt, Calcium Chloride (Firming Agent), Sodium Benzoate (Preservative), Natural Flavors, Polysorbate 80, Yellow 5	No gluten	https://images.openfoodfacts.org/images/products/000/093/001/2833/front_en.9.400.jpg	28 g	28.0
939333330.0	creme fraiche	kendall farms	kendall-farms	Dairies,Fermented foods,Fermented milk products,Creams,Fermented creams,Sour creams	Real California Milk	213.0	GRADE A CULTURED HEAVY CREAM	Real California Milk	https://images.openfoodfacts.org/images/products/000/093/933/3330/front_en.6.400.jpg	28g	28.0
10291.0	Natural grapeseed oil	Wildtree	wildtree	Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Grape seed oils	No gluten	1892.704	grape seed  oil	No gluten	https://images.openfoodfacts.org/images/products/000/000/001/0291/front_en.3.400.jpg	14g	14.0
10894.0	Organic tomatoes, diced in tomato juice	Trader Joe's	trader-joe-s	Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Vegetables,Canned vegetables,Tomatoes and their products,Tomatoes,Canned tomatoes	Organic	793.7866475	Organic tomatoes, organic tomato juice from concentrate (water, organic tomato concentrate), sea salt, citric acid, calcium chloride	Organic	https://images.openfoodfacts.org/images/products/000/000/001/0894/front_en.3.400.jpg	0.5 cup (130 g)	130.0
12157.0	Chicken Burritos	Trader Joe's	trader-joe-s	Sandwiches,Burritos	No gluten	397.0	Salade verte 39,2%, émincé de poulet rôti 26,1% (filet de poulet 82% [origine UE], eau, acidifiant : lactate de potassium et acétate de sodium, amidon modifié de manioc, sel, dextrose et sirop de glucose, arômes, gélifiants E407a, antioxydant : érythorbate de sodium, colorant : caramel), tomate cerise 9,8%, OEUF dur 8,6%, CROUTONS 6,5% (farine de BLE, huile de tournesol, GLUTEN de BLE, sel, sucre, levure), GRANA PADANO 4.9% (LAIT de vache cru, sel, présure, conservateur : lysozyme [protéine d'ŒUF]); SAUCE CAESAR 4.9% (huile de colza 37%, eau, vinaigre, sucre, huile d'olive vierge extra 3,5%, jaune d'OEUF, sel, FROMAGE RAPE 2%, MOUTARDE de Dijon [eau, graines de MOUTARDE, vinaigre, sel, antioxydant: DISULFITE de potassium, acidifiant: acide citrique], jus de citron concentré, ail, épices, épaississant: gomme xanthane, conservateur : sorbate de potassium, arômes (contient LAIT).	No gluten	https://images.openfoodfacts.org/images/products/000/000/001/2157/front_en.51.400.jpg	1 portion (198 g)	198.0
1363602024.0	Almondmilk Creamer with Coconut	Califia Farms	califia-farms	Plant-based foods and beverages,Dairy substitutes,Milk substitutes,Creamer	No milk	907.18474	Almondmilk (water, almonds), coconut cream, sunflower lecithin, natural flavors, calcium carbonate, sea salt, potassium citrate, locust bean gum, gellan gum	No milk	https://images.openfoodfacts.org/images/products/000/136/360/2024/front_en.4.400.jpg	1 tbsp	0.0
14656.0	Trader Joe’s, olive oil	Trader Joe’s	trader-joe-s	Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats,Olive tree products,Vegetable oils,Olive oils,Extra-virgin olive oils,Virgin olive oils	Kosher,Kosher-parve	1000.0	extra virgin olive oil	en:kosher-parve	https://images.openfoodfacts.org/images/products/000/000/001/4656/front_en.6.400.jpg	15 ml	15.0
15020.0	Tagliatelle gorgonzola	Power meals	power-meals	Snacks	No gluten,No artificial flavors	85.0	POTATO SNAPS (POTATO STARCH, WHOLE DEHYDRATED POTATO, SALT, CANOLA OIL, CALCIUM CHLORIDE, SUGAR, TURMERIC)., POTATO TOMATO SNAPS (POTATO STARCH, DEHYDRATED POTATO STARCH, TOMATO POWDER, SALT, CANOLA OIL, CALCIUM CHLORIDE,SUGAR, RED BEET POWDER (FOR COLORING), TURMERIC), POTATO SPINACH SNAPS (POTATO STARCH, DEHYDRATED WHOLE POTATO, SPINACH POWDER, SALT, CANOLA OIL, CALCIUM CHLORIDE, SUGAR)., VEGETABLE OIL BLEND (CANOLA OIL AND/OR SUNFLOWER OILAND/OR SAFFLOWER OIL), RANCH SEASONING (BUTTERMILK POWDER, WHEY, MALTODEXTRIN, SALI, DEXTROSE, NATURAL FLAVOR, SUGAR, YEAST EXTRACT, SPICES, ONION POWDER, GARLIC POWDER, TOMATO POWDER, CITRIC ACID, WHITE DISTILLED VINEGAR.). CONTAINS: MILLK.	No artificial flavors, No gluten	https://images.openfoodfacts.org/images/products/000/000/001/5020/front_en.4.400.jpg	400.0g	400.0
15356.0	Salsa Autentica	Marks & Spencer	marks-spencer	Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Fruits based foods,Fruits,Sauces,Berries,Dips,Groceries	Barcode-clash	140.0	Tomatoes, fresh yellow chile, distilled vinegar (from corn), salt, onion, spice.	Barcode clash	https://images.openfoodfacts.org/images/products/000/000/001/5356/front_en.41.400.jpg	2 tbsp (30 g)	30.0
1600040105.0	Multi Grain Cheerios	Cheerios,General Mills	cheerios,general-mills	Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals	No gluten	1000.0	Whole Grain Oats, Whole Grain Corn, Sugar, Corn Starch, Corn Bran, Whole Grain Rice, Whole Grain Sorghum, Whole Grain Millet, Brown Sugar Syrup, Salt, Tripotassium Phosphate, Color (caramel color and annatto extract). Vitamin E (mixed tocopherols) Added to Preserve Freshness.	No gluten	https://images.openfoodfacts.org/images/products/000/160/004/0105/front_en.10.400.jpg	29 g	29.0
16056.0	Whole Kernel Corn	Trader Joe's	trader-joe-s	Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Cereals and potatoes,Seeds,Vegetables based foods,Canned plant-based foods,Cereals and their products,Canned vegetables,Cereal grains,Corn	No preservatives,No added sugar	425.242846875	Corn, water, salt.	No preservatives,No added sugar	https://images.openfoodfacts.org/images/products/000/000/001/6056/front_en.26.400.jpg	1/2 cup (125 g)	125.0
2305006497.0	Organic Brown Rice Cake Thins	Trader Joe’s	trader-joe-s	Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes	No gluten,Organic,Kosher,USDA Organic,Certified gluten-free	136.077711	ORGANIC BROWN RICE, SEA SALT	Certified gluten-free,Kosher,USDA Organic	https://images.openfoodfacts.org/images/products/000/230/500/6497/front_en.5.400.jpg	6 pieces (29 g)	29.0
31615.0	Shakeology	Shakeology	shakeology	Dietary supplements,Bodybuilding supplements,Protein powders	Vegetarian,Vegan,LEAF	41.0	oprietary protein blend: chia, pea, sacha inchi, flax, quinoa, rice, oat, ein helps build lean muscle and reduce cravings,* ophietary super-fruit/antioxidant blend: camu-camu, acerola cherry, bilberry, lycium berry (goji berry), green te o han guo, pomegranate, rose hips, these exouc superfoods have antioxidant properties that help fight free radical damage,* proprietary super-green/phytonutrient blend: moringa, chlorella, spinach, kale, matcha, phytonutrients help support health and vitality,* proprietary adaptogen blend: ashwagandha, astragalus, cordyceps, maca, maitake, reishi, schisandra, chaga, adaptigens have been traditionally used to help the body adapt and respond to the effects of stress,* cellues lactase, glucoamylase, alpha-galactosidase, invertase, probs prebiotics, fiber, and enzymes help nutrient absorption and support regularity and healthy digestion ,* prophetary pre - and probiotic/digestive enzyme blend: yacon root, chicory root, bacillus coagulans, amylase, directk caly, gently shake the bag to loosen compressed powder then combine one level scoop (41 g) of shakeology powder with 8 to 12 1az cod wate ge monmilk juice, etc,) and ice in a blender, blend until creamy for a frosty smoothie, best consumed within 30 minutes, for more smootie recipes,go b tali supleent facts serving stze:1 s00p (41 g) servings per container: 30 % daily value amount per serving amount per serving % dally value tt 6%t vitamin a 1g 18 g polyunsaturated fat tal carbohydrate y fiber sugars amount per serving 340 160 calcium calories 40 30 24%t 6g iron caloris from fat 5%t 5%t 5 3 g tt todl fat 7 g sodium 280 1g saturated fat 25%t 16 g protein tt 1g monounsaturated fat 359 hoprietary superfood blend: hegan protein blend (pea protein, oat pro 1, rice protein, chia (seed), quinoa (seed), flax (seed), sacha inchi (seed), cocoa powder (processed with alkalil,re pramegranate juice powder (fruit), chlorella, yacon (rmot), acerola juice powder (fruit), astragalus (root), bilberry juice powder (fruit), blueberry(fruit, camu-camu fui hoot), cordyceps (fung), lycium juice powder (f,quot,it), moringa oleifera (leaf), ashwagandha (root), chaga (fungi), maitake (fungi), msm (methylsulfonylmethane apinach (leaf), enzyme blend (amylase, cellulase, lactase, glucoamylase, alpha-galactosidase, invertase), kale (brassica oleracea l var, acephala) (leaf,schisandaf pagulans, maca (root), cinnamon (bark), green tea extract (leaf), pea fiber (seed), luo han guo extract (fruit), matcha green tea (lear), tent daily values are based on a 2,000-calorie diet , value not established, vgredients: organic cane sugar, xanthan gum, himalayan pink salt, stevia leaf extract, statement: this product is manufactured in a plant that also processes milk, egg, fish, crustacean shellfish, tree nuts, wheat, peanuts, and soy ingredients, ted by: beachbody, llc, santa monica, ca 90404 hore in cool, dry place, 1 (800) 427-3809 msuft with a healthcare professional before use if you are pregnant, breastfeeding, taking any medication, or if you have any medical condition, keep out of rea acid profile amino acid amount per serving amino acid amount per serving tryptophan tyrosine amount per serving amino acid 710 mg 200 mg glycine 660 mg 1,310 mg 840 mg methionine histidine valine 1,810 mg 350 mg 730 mg phenylalanine isoleucine 720 mg 170 mg 770 mg proline leucine 2,720mg 1,270 mg 570mg serine lysine 940 mg threonine ed on a twelve-week independent clinical trial sponsored by beachbody , where fifty people consumed shakeology as their breakfast and lunch with no other changes toe levaluated by the food and drug administration, gpnose, treat, cure, or prevent any disease, certified low glycemic index geabs tested beachbody, llc is the owner of the shakeology, your daily dose of dense nutrition, beachbody ultimate, beachbody, and team beachbody trademan and all intellectual property, for customer service or to reorder, call 1 (800) 427-3809, you can also contact your coach or log in to teambeachbody,com,to reorder her	Vegetarian, Vegan, LEAF	https://images.openfoodfacts.org/images/products/000/000/003/1615/front_en.3.400.jpg	1 serving (100 g)	100.0
34791.0	Fromage blanc à la crème de marron	Crous Languedoc Roussillon	crous-languedoc-roussillon	Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Flavoured fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs aromatisés	Organic	200.0	FROMAGE BLANC 3,1% MG 72,5%, crème de marron vanillée 27,5% (purée de châtaignes 38%, sucre, sirop de glucose-fructose, arôme naturel de vanille 0,006%)	Bio	https://images.openfoodfacts.org/images/products/000/000/003/4791/front_fr.16.400.jpg	0.25 cup (30 g)	30.0
